subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay
s03,0,0.902777778,0.5,0.222222222,0.583333333,0.430555556,0.319444444
s04,15,0.666666667,0.569444444,0.5,0.583333333,0.583333333,0.666666667
s06,0,0.666666667,0.458333333,0.444444444,0.555555556,0.513888889,0.555555556
s07,2,0.652777778,0.527777778,0.569444444,0.430555556,0.430555556,0.416666667
s08,8,0.861111111,0.430555556,0.333333333,0.513888889,0.5,0.416666667
s10,22,0.902777778,0.583333333,0.513888889,0.611111111,0.527777778,0.5
s12,14,0.736111111,0.555555556,0.638888889,0.652777778,0.652777778,0.694444444
s13,12,0.819444444,0.5,0.305555556,0.513888889,0.541666667,0.555555556
s14,0,0.583333333,0.583333333,0.527777778,0.5,0.486111111,0.444444444
s15,14,0.666666667,0.5,0.430555556,0.611111111,0.625,0.472222222
s16,2,0.527777778,0.555555556,0.486111111,0.416666667,0.402777778,0.444444444
s17,0,0.513888889,0.305555556,0.361111111,0.472222222,0.513888889,0.375
s18,8,0.722222222,0.444444444,0.416666667,0.430555556,0.388888889,0.416666667
s19,0,0.694444444,0.430555556,0.472222222,0.486111111,0.555555556,0.513888889
s21,8,0.527777778,0.430555556,0.416666667,0.513888889,0.472222222,0.555555556
s22,3,0.652777778,0.444444444,0.513888889,0.611111111,0.486111111,0.444444444
s23,0,0.708333333,0.402777778,0.402777778,0.347222222,0.458333333,0.5
s25,4,0.763888889,0.583333333,0.541666667,0.611111111,0.513888889,0.611111111
s26,10,0.680555556,0.486111111,0.458333333,0.611111111,0.5,0.486111111
s27,11,0.666666667,0.597222222,0.333333333,0.513888889,0.458333333,0.5
s28,0,0.611111111,0.361111111,0.347222222,0.319444444,0.444444444,0.388888889
s29,3,0.569444444,0.5,0.472222222,0.527777778,0.513888889,0.486111111
s30,7,0.611111111,0.430555556,0.402777778,0.458333333,0.458333333,0.444444444
s31,5,0.680555556,0.513888889,0.5,0.555555556,0.472222222,0.458333333
s32,6,0.680555556,0.569444444,0.486111111,0.611111111,0.555555556,0.555555556
s34,0,0.625,0.638888889,0.638888889,0.513888889,0.472222222,0.472222222
s36,12,0.625,0.472222222,0.444444444,0.583333333,0.541666667,0.527777778
s37,24,0.541666667,0.486111111,0.513888889,0.444444444,0.472222222,0.5
s39,2,0.513888889,0.458333333,0.5,0.541666667,0.444444444,0.458333333
s40,2,0.652777778,0.388888889,0.291666667,0.541666667,0.513888889,0.555555556
s41,4,0.736111111,0.541666667,0.375,0.583333333,0.527777778,0.611111111
s47,9,0.472222222,0.458333333,0.416666667,0.416666667,0.5,0.5
s48,13,0.875,0.555555556,0.5,0.555555556,0.625,0.652777778
s49,2,0.819444444,0.458333333,0.361111111,0.611111111,0.555555556,0.611111111
s50,5,0.736111111,0.680555556,0.5,0.652777778,0.666666667,0.541666667
s51,11,0.625,0.527777778,0.361111111,0.5,0.486111111,0.458333333
s52,13,0.680555556,0.458333333,0.444444444,0.513888889,0.513888889,0.5
s53,1,0.708333333,0.625,0.583333333,0.611111111,0.611111111,0.75
s54,7,0.763888889,0.513888889,0.458333333,0.583333333,0.597222222,0.569444444
s55,14,0.652777778,0.416666667,0.347222222,0.541666667,0.527777778,0.555555556
s56,8,0.722222222,0.708333333,0.708333333,0.805555556,0.611111111,0.694444444
s57,3,0.805555556,0.625,0.555555556,0.652777778,0.666666667,0.638888889
s58,0,0.513888889,0.430555556,0.291666667,0.472222222,0.5,0.5
s59,0,0.694444444,0.375,0.347222222,0.486111111,0.416666667,0.458333333
s60,22,0.625,0.5,0.416666667,0.458333333,0.458333333,0.527777778
s61,2,0.638888889,0.583333333,0.527777778,0.597222222,0.597222222,0.527777778
s62,24,0.597222222,0.555555556,0.444444444,0.541666667,0.472222222,0.541666667
s63,0,0.694444444,0.388888889,0.486111111,0.583333333,0.486111111,0.444444444
