subject,Music,Early.Shortdelay,Ontime.Shortdelay,Late.Shortdelay,Early.Longdelay,Ontime.Longdelay,Late.Longdelay
s03,0,808.6232948,600.9595592,493.8084811,643.4158096,571.6675489,483.3333333
s04,15,620.2183323,610.115111,601.7350203,609.4206471,607.9135572,624.0894505
s06,0,658.2799042,584.4358382,582.6630238,614.5591415,612.962963,614.630792
s07,2,623.1773993,605.1448026,607.7187687,593.5134079,593.9437167,591.6667921
s08,8,669.2808642,593.7134305,583.3726048,601.064339,602.7781064,591.7686279
s10,22,725.3363905,611.2285081,601.5793235,614.1177422,603.1047441,600.6448687
s12,14,632.2828284,605.3590938,614.3512693,615.7352309,616.0481362,624.6450811
s13,12,668.2039501,596.6917869,566.9899604,601.612919,602.6376977,605.9058855
s14,0,611.9061017,613.7627107,601.5396899,599.7783239,598.2741325,587.2762796
s15,14,640.5473869,602.9367224,589.0116698,615.3828035,611.8949556,596.9183091
s16,2,602.4274519,605.2131978,599.0211087,594.2245692,589.4458723,595.3310891
s17,0,603.3698914,568.8759991,578.6759741,595.8538367,601.1738832,587.9346314
s18,8,658.3333333,588.9704325,591.3555884,590.3144454,564.3640928,585.7529221
s19,0,629.2365483,583.9039258,596.2375053,600.4816839,604.9250121,600.1030563
s21,8,603.5609454,593.7134305,590.669694,602.4519001,598.9952431,606.4583352
s22,3,616.0715508,594.5215785,602.1775544,610.1812166,599.6466281,595.7540546
s23,0,642.3500262,585.3534419,586.6646911,576.6479197,590.2937265,601.4236243
s25,4,698.6032138,624.0144466,612.7810315,616.1584015,603.6163112,613.0882466
s26,10,618.179488,600.3314022,596.0759187,610.8897018,598.6683368,600.6615484
s27,11,622.3972005,616.0113293,577.8939678,602.2298791,592.4364247,600
s28,0,612.4082485,579.4438166,580.067783,572.0841937,593.4953467,585.7759044
s29,3,613.1058332,598.4047241,596.2767368,605.1481734,602.8273545,599.8859416
s30,7,610.798127,594.0235688,591.3423866,596.1698975,595.8115665,594.2810807
s31,5,618.9563475,603.7017367,599.5591977,604.6336624,597.2327099,596.7037042
s32,6,617.4225721,606.2121323,597.6395892,610.6396026,608.7792554,606.0955108
s34,0,619.3187207,617.1464591,617.1464591,602.7242447,597.586586,598.4200802
s36,12,615.5505414,597.5107125,596.4716975,608.2313721,603.6812923,603.1779882
s37,24,605.2409203,598.3869518,601.4618182,593.3003914,597.3552338,600
s39,2,603.2853888,591.3927019,600,609.3274352,583.029828,591.4405999
s40,2,623.0496525,584.7590784,565.9481819,604.756587,601.0055995,606.7355556
s41,4,637.0826477,604.822283,583.1059597,608.5927326,604.5406476,612.4335255
s47,9,596.9785334,594.60208,591.6667921,588.9508757,599.8460981,600
s48,13,739.4608436,610.7546256,601.6161518,606.0117244,612.8498694,639.2934526
s49,2,670.5988742,595.9750187,576.924396,612.7742552,606.3718825,614.6679671
s50,5,664.0119261,634.0640433,597.886604,623.9280811,623.7680647,607.5433334
s51,11,609.7594176,602.777131,586.1446325,600,599.0129424,595.9041635
s52,13,632.3211943,590.4166022,590.7183732,618.2392509,602.136771,602.7996081
s53,1,625.2548456,610.8074689,607.5033639,611.1554513,611.7328269,632.1140252
s54,7,640.4333454,600.1273265,591.9901964,608.3332079,609.1232569,606.9889693
s55,14,615.7352309,593.810041,584.3812132,605.5820464,603.331542,604.6336624
s56,8,639.7412029,639.9421772,643.8052138,695.946503,617.3798194,636.880582
s57,3,647.4172015,612.0289513,606.0908091,616.3040092,617.2788607,613.6101901
s58,0,602.2263498,593.1834494,563.3645751,595.5073064,601.2209824,599.6827742
s59,0,635.2116542,582.962708,583.4765919,597.5480999,592.5161475,594.921524
s60,22,613.4846329,598.3664141,590.5971524,594.8104596,595.2963055,603.2828933
s61,2,621.3553667,613.1021945,605.6049805,614.1812966,612.783748,607.1846493
s62,24,610.5323816,605.5564944,595.787782,604.632189,597.222869,604.6490068
s63,0,634.6105437,554.2146077,598.3080844,633.9297958,597.5613552,593.6128606
